date,USD_Index,Gold_Price,S&P_500,NASDAQ_Composite,WTI_Oil_Price,Copper_Price,Fed_Funds_Rate,UST_10Y_Yield,Term_Spread_10Y_2Y,VIX,Fed_Balance_Sheet_Total,RRP_Balance,TGA_Balance,Govt_Debt_Total,Nonfarm_Payrolls,Initial_Claims,Unemployment_Rate,JOLTS_Job_Openings,CPI_YoY,Core_PCE_YoY,Inflation_Expectation_5Y,OECD_CLI_US,Chicago_NFCI,WEI,CCC_Credit_Spread_Approx
2016/2/27,114.3708,1223.32,1948.05,4590.47,31.65,4598.619048,0.38,1.76,0.96,19.81,4489796,56.919,-192614.0017,19264939,143407,266750,4.9,5770,3.392018702,3.320868496,1.2,100.0118,-0.29902,1.27,-0.19
2016/2/28,114.3708,1223.32,1948.05,4590.47,31.65,4598.619048,0.38,1.76,0.96,19.81,4489796,56.919,-192614.0017,19264939,143407,266750,4.9,5770,3.392018702,3.320868496,1.2,100.0118,-0.29902,1.27,-0.19
2016/2/29,114.2418,1238.3,1932.23,4557.95,32.74,4598.619048,0.38,1.74,0.96,20.55,4489796,94.123,-192614.0017,19264939,143407,266750,4.9,5770,0,0,1.23,100.0118,-0.29902,1.27,-0.19
2016/3/1,113.9265,1231.57,1978.35,4689.6,34.39,4953.797619,0.36,1.83,0.98,17.7,4489796,38.763,-108042.7307,19264939,143662,266750,5,6129,0.313479624,0.143243022,1.29,99.96378,-0.29902,1.27,-0.31
2016/3/2,113.7965,1240.09,1986.45,4703.42,34.57,4953.797619,0.36,1.84,0.99,17.09,4478485,44.546,-108042.7307,19264939,143662,266750,5,6129,0.313479624,0.143243022,1.34,99.96378,-0.29902,1.27,-0.33
2016/3/3,113.2482,1265.51,1993.4,4707.42,34.56,4953.797619,0.36,1.83,0.98,16.7,4478485,50.384,-108042.7307,19264939,143662,266750,5,6129,0.313479624,0.143243022,1.36,99.96378,-0.29902,1.27,-0.33
2016/3/4,112.6387,1258.78,1999.99,4717.02,35.91,4953.797619,0.36,1.88,1,16.86,4478485,51.368,-108042.7307,19264939,143662,266750,5,6129,0.313479624,0.143243022,1.36,99.96378,-0.319,1.27,-0.4
2016/3/5,112.6387,1258.78,1999.99,4717.02,35.91,4953.797619,0.36,1.88,1,16.86,4478485,51.368,-108042.7307,19264939,143662,264000,5,6129,2.795660096,2.610492154,1.36,99.96378,-0.319,1.53,-0.4
2016/3/6,112.6387,1258.78,1999.99,4717.02,35.91,4953.797619,0.36,1.88,1,16.86,4478485,51.368,-108042.7307,19264939,143662,264000,5,6129,2.795660096,2.610492154,1.36,99.96378,-0.319,1.53,-0.4
2016/3/7,112.6219,1267.22,2001.76,4708.25,37.9,4953.797619,0.36,1.91,1,17.35,4478485,53.724,-108042.7307,19264939,143662,264000,5,6129,0.313479624,0.143243022,1.36,99.96378,-0.319,1.53,-0.44
2016/3/8,112.8465,1261.5,1979.26,4648.82,36.67,4953.797619,0.36,1.83,0.95,18.67,4478485,49.332,-108042.7307,19264939,143662,264000,5,6129,0.313479624,0.143243022,1.33,99.96378,-0.319,1.53,-0.37
2016/3/9,112.4268,1252.88,1989.26,4674.38,37.62,4953.797619,0.36,1.9,1,18.34,4481083,47.346,-108042.7307,19264939,143662,264000,5,6129,0.313479624,0.143243022,1.37,99.96378,-0.319,1.53,-0.44
2016/3/10,112.4191,1271.98,1989.57,4662.16,37.77,4953.797619,0.36,1.93,1,18.05,4481083,35.428,-108042.7307,19264939,143662,264000,5,6129,0.313479624,0.143243022,1.35,99.96378,-0.319,1.53,-0.5
2016/3/11,111.741,1249.23,2022.19,4748.47,38.51,4953.797619,0.36,1.98,1.01,16.5,4481083,39.73,-108042.7307,19264939,143662,264000,5,6129,0.313479624,0.143243022,1.41,99.96378,-0.33909,1.53,-0.58
2016/3/12,111.741,1249.23,2022.19,4748.47,38.51,4953.797619,0.36,1.98,1.01,16.5,4481083,39.73,-108042.7307,19264939,143662,264250,5,6129,1.780577469,2.025931255,1.41,99.96378,-0.33909,1.13,-0.58
2016/3/13,111.741,1249.23,2022.19,4748.47,38.51,4953.797619,0.36,1.98,1.01,16.5,4481083,39.73,-108042.7307,19264939,143662,264250,5,6129,1.780577469,2.025931255,1.41,99.96378,-0.33909,1.13,-0.58
2016/3/14,112.1688,1235,2019.64,4750.28,37.2,4953.797619,0.36,1.97,1,16.92,4481083,40.518,-108042.7307,19264939,143662,264250,5,6129,0.313479624,0.143243022,1.38,99.96378,-0.33909,1.13,-0.6
